sword,Sword_SunmoteShiv,Sword_CloudcutFalchion,Sword_ZenithSabre,Sword_DaybreakLongsword,Sword_SummitwardBroadsword,Sword_LittleDawn,Sword_CloudstepKatana,Sword_HighwindNodachi,Sword_OrigamiCraneBlade,Sword_SunsqueezeBlade,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_SunmoteShiv,,0.68,0.704,0.739,0.727,0.591,0.597,0.535,0.716,0.629,0.584,0.544,0.581,0.554,0.556,0.605,0.558,0.605,0.671
Sword_CloudcutFalchion,0.68,,0.845,0.835,0.763,0.842,0.595,0.588,0.707,0.794,0.814,0.771,0.804,0.789,0.75,0.807,0.815,0.793,0.764
Sword_ZenithSabre,0.704,0.845,,0.755,0.726,0.755,0.648,0.633,0.734,0.701,0.753,0.719,0.711,0.733,0.652,0.699,0.722,0.718,0.744
Sword_DaybreakLongsword,0.739,0.835,0.755,,0.786,0.773,0.612,0.57,0.702,0.768,0.727,0.654,0.755,0.666,0.696,0.734,0.705,0.737,0.76
Sword_SummitwardBroadsword,0.727,0.763,0.726,0.786,,0.688,0.532,0.581,0.839,0.781,0.698,0.657,0.728,0.657,0.727,0.73,0.671,0.715,0.675
Sword_LittleDawn,0.591,0.842,0.755,0.773,0.688,,0.536,0.533,0.645,0.75,0.786,0.745,0.823,0.755,0.752,0.798,0.792,0.763,0.67
Sword_CloudstepKatana,0.597,0.595,0.648,0.612,0.532,0.536,,0.764,0.49,0.499,0.534,0.52,0.519,0.524,0.481,0.507,0.529,0.547,0.619
Sword_HighwindNodachi,0.535,0.588,0.633,0.57,0.581,0.533,0.764,,0.537,0.528,0.584,0.564,0.543,0.566,0.538,0.532,0.549,0.555,0.536
Sword_OrigamiCraneBlade,0.716,0.707,0.734,0.702,0.839,0.645,0.49,0.537,,0.734,0.652,0.634,0.69,0.636,0.66,0.677,0.646,0.706,0.618
Sword_SunsqueezeBlade,0.629,0.794,0.701,0.768,0.781,0.75,0.499,0.528,0.734,,0.713,0.719,0.77,0.736,0.753,0.799,0.798,0.752,0.658
