sword,Sword_SparkwireShiv,Sword_CoppervaneFalchion,Sword_WeathervaneSabre,Sword_RodsteelLongsword,Sword_ObservatoryBroadsword,Sword_BarometerRapier,Sword_GustcutterGladius,Sword_WeathercockEpee,Sword_StormbellTulwar,Sword_PinwheelClaymore,Sword_BottledLightning,Sword_KitestringRapier,Sword_DoubleRainbow,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_SparkwireShiv,,0.72,0.65,0.823,0.628,0.593,0.712,0.598,0.659,0.784,0.698,0.739,0.621,0.621,0.571,0.617,0.57,0.594,0.64,0.583,0.648,0.716
Sword_CoppervaneFalchion,0.72,,0.801,0.74,0.73,0.503,0.763,0.489,0.784,0.77,0.731,0.585,0.797,0.813,0.735,0.755,0.747,0.687,0.735,0.769,0.768,0.782
Sword_WeathervaneSabre,0.65,0.801,,0.642,0.67,0.477,0.68,0.453,0.731,0.703,0.692,0.52,0.709,0.722,0.706,0.682,0.718,0.635,0.669,0.71,0.678,0.679
Sword_RodsteelLongsword,0.823,0.74,0.642,,0.643,0.606,0.722,0.587,0.662,0.795,0.698,0.73,0.658,0.615,0.56,0.635,0.571,0.598,0.645,0.594,0.671,0.748
Sword_ObservatoryBroadsword,0.628,0.73,0.67,0.643,,0.538,0.835,0.497,0.591,0.796,0.702,0.501,0.764,0.748,0.729,0.843,0.739,0.806,0.814,0.774,0.791,0.65
Sword_BarometerRapier,0.593,0.503,0.477,0.606,0.538,,0.502,0.842,0.533,0.619,0.648,0.681,0.502,0.463,0.421,0.472,0.445,0.431,0.464,0.434,0.503,0.474
Sword_GustcutterGladius,0.712,0.763,0.68,0.722,0.835,0.502,,0.493,0.619,0.83,0.699,0.576,0.729,0.756,0.722,0.805,0.742,0.799,0.842,0.763,0.768,0.711
Sword_WeathercockEpee,0.598,0.489,0.453,0.587,0.497,0.842,0.493,,0.523,0.575,0.593,0.694,0.476,0.448,0.404,0.456,0.421,0.436,0.45,0.399,0.485,0.462
Sword_StormbellTulwar,0.659,0.784,0.731,0.662,0.591,0.533,0.619,0.523,,0.642,0.708,0.585,0.648,0.692,0.625,0.623,0.634,0.55,0.596,0.625,0.65,0.695
Sword_PinwheelClaymore,0.784,0.77,0.703,0.795,0.796,0.619,0.83,0.575,0.642,,0.759,0.632,0.729,0.727,0.674,0.745,0.695,0.705,0.765,0.711,0.759,0.728
Sword_BottledLightning,0.698,0.731,0.692,0.698,0.702,0.648,0.699,0.593,0.708,0.759,,0.637,0.731,0.679,0.634,0.653,0.642,0.622,0.679,0.652,0.667,0.673
Sword_KitestringRapier,0.739,0.585,0.52,0.73,0.501,0.681,0.576,0.694,0.585,0.632,0.637,,0.516,0.505,0.456,0.503,0.472,0.47,0.51,0.462,0.532,0.585
Sword_DoubleRainbow,0.621,0.797,0.709,0.658,0.764,0.502,0.729,0.476,0.648,0.729,0.731,0.516,,0.816,0.73,0.784,0.727,0.721,0.716,0.766,0.772,0.688
