sword,Sword_ReedCutter,Sword_BogironFalchion,Sword_SiltSabre,Sword_MarshlightLongsword,Sword_BellringerBroadsword,Sword_FerrymansCutlass,Sword_Oarblade,Sword_FrogsongGreatsword,Sword_RubberDuckRapier,Sword_LilypadLantern,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_ReedCutter,,0.712,0.667,0.552,0.525,0.783,0.541,0.508,0.543,0.554,0.629,0.569,0.575,0.575,0.519,0.559,0.57,0.583,0.631
Sword_BogironFalchion,0.712,,0.783,0.703,0.706,0.834,0.694,0.676,0.508,0.695,0.841,0.798,0.719,0.815,0.674,0.735,0.784,0.737,0.721
Sword_SiltSabre,0.667,0.783,,0.739,0.626,0.733,0.64,0.6,0.621,0.745,0.696,0.653,0.692,0.657,0.632,0.689,0.677,0.72,0.838
Sword_MarshlightLongsword,0.552,0.703,0.739,,0.749,0.635,0.669,0.732,0.483,0.766,0.746,0.687,0.797,0.716,0.722,0.772,0.75,0.753,0.694
Sword_BellringerBroadsword,0.525,0.706,0.626,0.749,,0.624,0.784,0.792,0.391,0.717,0.744,0.735,0.782,0.752,0.745,0.778,0.782,0.71,0.593
Sword_FerrymansCutlass,0.783,0.834,0.733,0.635,0.624,,0.62,0.608,0.523,0.629,0.749,0.697,0.654,0.713,0.602,0.651,0.703,0.667,0.667
Sword_Oarblade,0.541,0.694,0.64,0.669,0.784,0.62,,0.721,0.453,0.647,0.701,0.655,0.722,0.649,0.667,0.693,0.692,0.687,0.612
Sword_FrogsongGreatsword,0.508,0.676,0.6,0.732,0.792,0.608,0.721,,0.4,0.649,0.744,0.739,0.826,0.714,0.784,0.77,0.748,0.765,0.57
Sword_RubberDuckRapier,0.543,0.508,0.621,0.483,0.391,0.523,0.453,0.4,,0.503,0.457,0.413,0.454,0.43,0.421,0.467,0.419,0.495,0.518
Sword_LilypadLantern,0.554,0.695,0.745,0.766,0.717,0.629,0.647,0.649,0.503,,0.698,0.673,0.741,0.696,0.735,0.784,0.731,0.727,0.701
